structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→D→D→A→A→E→E→F→F→C→C→A→A→D→D→E,1,64
A→A→B→B→C→C→D→D→A→A→B→B→E→E→F→F→A→A→B→B→C,1,65
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→F,1,66
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→E→E→C→C→H,1,68
A→A→B→B→C→C→D→D→E→E→C→C→F→F→B→B→A→A→G→G,1,69
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→C→C→H→H→B,1,70
A→A→B→B→C→C→D→D→E→E→F→F→C→C→D→D→E→E→F→F→C,1,75
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→B→B→G,1,77
A→A→B→B→C→C→D→D→E→E→F→F→C→C→E→E→F→F→G→G,1,79
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→A→A→B→B→D,1,83
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→H→H→D→D→E,1,84
A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→C→C→G→G,1,86
A→A→B→B→C→C→D→D→E→E→F→F→D→D→C→C→B→B→G→G→A,1,87
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→B,1,89
A→A→B→B→C→C→D→D→A→A→E→E→B→B→D→D→F→F→E→E→G,1,93
A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→D→D→E→E→F,1,94
A→A→B→B→C→C→D→D→E→E→B→B→F→F→A→A→E→E→D→D→B,1,95
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→C→C→E,1,96
A→A→B→B→C→C→D→D→E→E→B→B→A→A→F→F→C→C→B→B→E,1,98
A→A→B→B→C→C→A→A→D→D→E→E→F→F→B→B→G→G→A→A→C,1,99
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→H→H,1,101
A→A→B→B→C→C→D→D→E→E→B→B→A→A→C→C→F→F→D→D→E,1,102
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→F→F→A→A→E,1,103
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→D→D→A→A→B,1,104
A→A→B→B→C→C→D→D→A→A→E→E→B→B→F→F→E→E→A→A→B,1,105
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→E→E→F→F→D,1,107
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→C→C→H→H→D,1,110
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→C,1,111
A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→C→C→H,1,112
A→A→B→B→C→C→D→D→E→E→B→B→C→C→D→D→F→F→A→A→B,1,113
A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→G→G→H→H→D,1,114
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→F→F→A,1,115
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→E→E,1,117
A→A→B→B→C→C→D→D→E→E→F→F→C→C→B→B→D→D→E→E→A,1,118
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→A→A→B→B→C,1,121
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→D→D→A→A→H,1,122
A→A→B→B→C→C→D→D→A→A→B→B→E→E→C→C→B→B→A→A,1,123
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→G→G→A→A→H,1,124
A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→G→G→H→H→C,1,127
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→H→H→C→C→E,1,128
A→A→B→B→C→C→D→D→E→E→F→F→A→A→D→D→G→G→C→C→B,1,130
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→H→H→C→C→E,1,133
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→E→E→C,1,136
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→D→D→B→B→A,1,137
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→G→G→H→H→A,1,139
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D,1,141
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→E→E→G→G→H,1,142
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→D→D→G→G→C,1,144
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→E→E→D,1,145
A→A→B→B→C→C→D→D→E→E→B→B→F→F→C→C→A→A→E→E→B,1,148
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→C→C→D→D→H,1,149
A→A→B→B→C→C→D→D→E→E→A→A→C→C→D→D→B→B→A→A→C,1,150
A→A→B→B→C→C→D→D→A→A→B→B→E→E→F→F→G→G→D→D→A,1,151
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→A→A→H→H→D,1,152
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→A→A→D→D→C,1,153
A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→D→D→A→A→E,1,154
A→A→B→B→C→C→D→D→E→E→C→C→B→B→A→A→D→D→E→E→C,1,156
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→F,1,157
A→A→B→B→C→C→D→D→E→E→B→B→F→F→A→A→E→E→D→D,1,158
A→A→B→B→C→C→D→D→E→E→A→A→F→F→D→D→E→E→A→A→F,1,159
A→A→B→B→C→C→D→D→A→A→E→E→C→C→B→B→D→D→A→A→C,1,161
A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→B→B→E→E→A,1,162
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→H→H→B→B→C,1,163
A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→A→A→C,1,165
A→A→B→B→C→C→A→A→D→D→E→E→F→F→G→G→C→C→A→A→B,1,167
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→H→H→A→A→C,1,170
A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→A→A→H→H→C,1,171
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→E→E→A→A→F,1,172
