step,active_behavior
990,motive_6
991,motive_7
992,motive_7
993,motive_4
994,motive_4
995,motive_1
996,motive_1
997,motive_2
998,motive_2
999,motive_4
