step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
330,1.0,0.509,-0.322,0.462,-0.046,0.912,0.546,-0.097
331,1.0,0.451,-0.492,0.404,0.954,0.868,0.396,-0.141
332,1.0,0.393,-0.662,0.346,1.0,0.824,0.246,-0.185
333,0.949,0.276,-0.759,0.429,0.949,0.721,0.169,0.815
334,0.898,0.159,-0.856,0.512,0.898,0.618,0.092,1.0
335,0.738,0.065,0.144,0.418,0.738,0.538,0.192,0.92
336,0.578,-0.029,1.0,0.324,0.578,0.458,0.292,0.84
337,0.527,0.971,0.903,0.207,0.527,0.555,0.215,0.737
338,0.476,1.0,0.806,0.09,0.476,0.652,0.138,0.634
339,0.466,0.983,0.786,0.073,0.466,0.649,0.138,0.631
340,0.456,0.966,0.766,0.056,0.456,0.646,0.138,0.628
341,0.446,0.949,0.746,0.039,0.446,0.643,0.138,0.625
342,0.436,0.932,0.726,0.022,0.436,0.64,0.138,0.622
343,0.426,0.915,0.706,0.005,0.426,0.637,0.138,0.619
344,0.416,0.898,0.686,-0.012,0.416,0.634,0.138,0.616
345,0.365,0.781,0.589,0.988,0.365,0.531,0.061,0.713
346,0.314,0.664,0.492,1.0,0.314,0.428,-0.016,0.81
347,0.154,0.57,0.572,0.906,0.154,0.348,0.984,0.73
348,-0.006,0.476,0.652,0.812,-0.006,0.268,1.0,0.65
349,0.994,0.418,0.482,0.754,0.084,0.224,0.85,0.606
350,1.0,0.36,0.312,0.696,0.174,0.18,0.7,0.562
351,0.99,0.343,0.292,0.679,0.164,0.177,0.7,0.559
352,0.98,0.326,0.272,0.662,0.154,0.174,0.7,0.556
353,0.97,0.309,0.252,0.645,0.144,0.171,0.7,0.553
354,0.96,0.292,0.232,0.628,0.134,0.168,0.7,0.55
355,0.95,0.275,0.212,0.611,0.124,0.165,0.7,0.547
356,0.94,0.258,0.192,0.594,0.114,0.162,0.7,0.544
357,0.93,0.241,0.172,0.577,0.104,0.159,0.7,0.541
358,0.92,0.224,0.152,0.56,0.094,0.156,0.7,0.538
359,0.91,0.207,0.132,0.543,0.084,0.153,0.7,0.535
360,0.9,0.19,0.112,0.526,0.074,0.15,0.7,0.532
361,0.89,0.173,0.092,0.509,0.064,0.147,0.7,0.529
362,0.88,0.156,0.072,0.492,0.054,0.144,0.7,0.526
363,0.87,0.139,0.052,0.475,0.044,0.141,0.7,0.523
364,0.86,0.122,0.032,0.458,0.034,0.138,0.7,0.52
365,0.85,0.105,0.012,0.441,0.024,0.135,0.7,0.517
366,0.84,0.088,-0.008,0.424,0.014,0.132,0.7,0.514
367,0.68,-0.006,0.992,0.33,-0.146,0.052,0.8,0.434
368,0.52,-0.1,1.0,0.236,-0.306,-0.028,0.9,0.354
369,0.61,-0.158,0.83,0.178,0.694,-0.072,0.75,0.31
370,0.7,-0.216,0.66,0.12,1.0,-0.116,0.6,0.266
371,0.649,0.784,0.563,0.003,0.949,-0.019,0.523,0.163
372,0.598,1.0,0.466,-0.114,0.898,0.078,0.446,0.06
373,0.547,0.883,0.369,0.886,0.847,-0.025,0.369,0.157
374,0.496,0.766,0.272,1.0,0.796,-0.128,0.292,0.254
375,0.445,0.849,0.175,0.883,0.745,0.872,0.215,0.151
376,0.394,0.932,0.078,0.766,0.694,1.0,0.138,0.048
377,0.384,0.915,0.058,0.749,0.684,0.997,0.138,0.045
378,0.374,0.898,0.038,0.732,0.674,0.994,0.138,0.042
379,0.364,0.881,0.018,0.715,0.664,0.991,0.138,0.039
380,0.354,0.864,-0.002,0.698,0.654,0.988,0.138,0.036
381,0.194,0.77,0.998,0.604,0.494,0.908,0.238,-0.044
382,0.034,0.676,1.0,0.51,0.334,0.828,0.338,-0.124
383,-0.017,0.559,0.903,0.593,0.283,0.725,0.261,0.876
384,-0.068,0.442,0.806,0.676,0.232,0.622,0.184,1.0
385,0.932,0.384,0.636,0.618,0.322,0.578,0.034,0.956
386,1.0,0.326,0.466,0.56,0.412,0.534,-0.116,0.912
387,0.84,0.232,0.546,0.466,0.252,0.454,0.884,0.832
388,0.68,0.138,0.626,0.372,0.092,0.374,1.0,0.752
389,0.67,0.121,0.606,0.355,0.082,0.371,1.0,0.749
390,0.66,0.104,0.586,0.338,0.072,0.368,1.0,0.746
391,0.65,0.087,0.566,0.321,0.062,0.365,1.0,0.743
392,0.64,0.07,0.546,0.304,0.052,0.362,1.0,0.74
393,0.63,0.053,0.526,0.287,0.042,0.359,1.0,0.737
394,0.62,0.036,0.506,0.27,0.032,0.356,1.0,0.734
395,0.61,0.019,0.486,0.253,0.022,0.353,1.0,0.731
396,0.6,0.002,0.466,0.236,0.012,0.35,1.0,0.728
397,0.59,-0.015,0.446,0.219,0.002,0.347,1.0,0.725
398,0.539,0.985,0.349,0.102,-0.049,0.444,0.923,0.622
