step,motive,satisfaction
89,motive_8,0.711
90,motive_1,-1.0
90,motive_2,-0.956
90,motive_3,-1.0
90,motive_4,-0.3699999999999999
90,motive_5,-1.0
90,motive_6,0.08200000000000007
90,motive_7,1.0
90,motive_8,0.42199999999999993
91,motive_1,-1.0
91,motive_2,-1.0
91,motive_3,-1.0
91,motive_4,0.6300000000000001
91,motive_5,-1.0
91,motive_6,-0.10599999999999993
91,motive_7,0.7010000000000001
91,motive_8,0.43399999999999983
92,motive_1,-1.0
92,motive_2,-1.0
92,motive_3,-1.0
92,motive_4,1.0
92,motive_5,-1.0
92,motive_6,-0.29399999999999993
92,motive_7,0.4020000000000001
92,motive_8,0.44599999999999984
93,motive_1,-1.0
93,motive_2,0.0
93,motive_3,-1.0
93,motive_4,0.836
93,motive_5,-1.0
93,motive_6,-0.597
93,motive_7,-0.1469999999999999
93,motive_8,0.08799999999999986
94,motive_1,-1.0
94,motive_2,1.0
94,motive_3,-1.0
94,motive_4,0.6719999999999999
94,motive_5,-1.0
94,motive_6,-0.8999999999999999
94,motive_7,-0.696
94,motive_8,-0.27000000000000013
95,motive_1,0.0
95,motive_2,0.668
95,motive_3,-1.0
95,motive_4,0.6409999999999999
95,motive_5,-1.0
95,motive_6,-0.9789999999999999
95,motive_7,-0.704
95,motive_8,-0.5480000000000002
96,motive_1,1.0
96,motive_2,0.33599999999999997
96,motive_3,-1.0
96,motive_4,0.6099999999999999
96,motive_5,-1.0
96,motive_6,-1.0
96,motive_7,-0.712
96,motive_8,-0.8260000000000002
97,motive_1,0.8919999999999999
97,motive_2,-0.28400000000000003
97,motive_3,-1.0
97,motive_4,0.3819999999999999
97,motive_5,-1.0
97,motive_6,-1.0
97,motive_7,0.28800000000000003
97,motive_8,-1.0
98,motive_1,0.7839999999999998
98,motive_2,-0.904
98,motive_3,-1.0
98,motive_4,0.15399999999999991
98,motive_5,-1.0
98,motive_6,-1.0
98,motive_7,1.0
98,motive_8,-1.0
99,motive_1,0.5339999999999998
99,motive_2,-1.0
99,motive_3,-1.0
99,motive_4,-0.034000000000000086
99,motive_5,-1.0
99,motive_6,0.0
99,motive_7,0.815
99,motive_8,-1.0
