step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
229,0.248,0.892,0.612,0.822,0.676,0.593,0.823,0.281
230,0.228,0.865,0.582,0.795,0.656,0.58,0.813,0.268
231,0.208,0.838,0.552,0.768,0.636,0.567,0.803,0.255
232,0.188,0.811,0.522,0.741,0.616,0.554,0.793,0.242
233,0.168,0.784,0.492,0.714,0.596,0.541,0.783,0.229
234,0.148,0.757,0.462,0.687,0.576,0.528,0.773,0.216
235,0.128,0.73,0.432,0.66,0.556,0.515,0.763,0.203
236,0.108,0.703,0.402,0.633,0.536,0.502,0.753,0.19
237,0.088,0.676,0.372,0.606,0.516,0.489,0.743,0.177
238,0.068,0.649,0.342,0.579,0.496,0.476,0.733,0.164
239,0.048,0.622,0.312,0.552,0.476,0.463,0.723,0.151
240,0.028,0.595,0.282,0.525,0.456,0.45,0.713,0.138
241,0.008,0.568,0.252,0.498,0.436,0.437,0.703,0.125
242,-0.012,0.541,0.222,0.471,0.416,0.424,0.693,0.112
243,0.988,0.628,0.292,0.502,0.476,0.497,0.783,0.241
244,1.0,0.715,0.362,0.533,0.536,0.57,0.873,0.37
245,0.98,0.688,0.332,0.506,0.516,0.557,0.863,0.357
246,0.96,0.661,0.302,0.479,0.496,0.544,0.853,0.344
247,0.94,0.634,0.272,0.452,0.476,0.531,0.843,0.331
248,0.92,0.607,0.242,0.425,0.456,0.518,0.833,0.318
249,0.9,0.58,0.212,0.398,0.436,0.505,0.823,0.305
250,0.88,0.553,0.182,0.371,0.416,0.492,0.813,0.292
251,0.86,0.526,0.152,0.344,0.396,0.479,0.803,0.279
252,0.84,0.499,0.122,0.317,0.376,0.466,0.793,0.266
253,0.82,0.472,0.092,0.29,0.356,0.453,0.783,0.253
254,0.8,0.445,0.062,0.263,0.336,0.44,0.773,0.24
255,0.78,0.418,0.032,0.236,0.316,0.427,0.763,0.227
256,0.76,0.391,0.002,0.209,0.296,0.414,0.753,0.214
257,0.74,0.364,-0.028,0.182,0.276,0.401,0.743,0.201
258,0.82,0.451,0.972,0.297,0.356,0.474,0.813,0.246
259,0.9,0.538,1.0,0.412,0.436,0.547,0.883,0.291
260,0.88,0.511,0.97,0.385,0.416,0.534,0.873,0.278
261,0.86,0.484,0.94,0.358,0.396,0.521,0.863,0.265
262,0.84,0.457,0.91,0.331,0.376,0.508,0.853,0.252
263,0.82,0.43,0.88,0.304,0.356,0.495,0.843,0.239
264,0.8,0.403,0.85,0.277,0.336,0.482,0.833,0.226
265,0.78,0.376,0.82,0.25,0.316,0.469,0.823,0.213
266,0.76,0.349,0.79,0.223,0.296,0.456,0.813,0.2
267,0.74,0.322,0.76,0.196,0.276,0.443,0.803,0.187
268,0.72,0.295,0.73,0.169,0.256,0.43,0.793,0.174
269,0.7,0.268,0.7,0.142,0.236,0.417,0.783,0.161
270,0.68,0.241,0.67,0.115,0.216,0.404,0.773,0.148
271,0.66,0.214,0.64,0.088,0.196,0.391,0.763,0.135
272,0.64,0.187,0.61,0.061,0.176,0.378,0.753,0.122
273,0.62,0.16,0.58,0.034,0.156,0.365,0.743,0.109
274,0.6,0.133,0.55,0.007,0.136,0.352,0.733,0.096
275,0.58,0.106,0.52,-0.02,0.116,0.339,0.723,0.083
276,0.618,0.179,0.632,0.98,0.238,0.426,0.771,0.07
277,0.656,0.252,0.744,1.0,0.36,0.513,0.819,0.057
278,0.636,0.225,0.714,0.973,0.34,0.5,0.809,0.044
279,0.616,0.198,0.684,0.946,0.32,0.487,0.799,0.031
280,0.596,0.171,0.654,0.919,0.3,0.474,0.789,0.018
281,0.576,0.144,0.624,0.892,0.28,0.461,0.779,0.005
282,0.556,0.117,0.594,0.865,0.26,0.448,0.769,-0.008
283,0.678,0.19,0.622,0.838,0.298,0.535,0.901,0.992
284,0.8,0.263,0.65,0.811,0.336,0.622,1.0,1.0
285,0.78,0.236,0.62,0.784,0.316,0.609,0.99,0.987
286,0.76,0.209,0.59,0.757,0.296,0.596,0.98,0.974
287,0.74,0.182,0.56,0.73,0.276,0.583,0.97,0.961
288,0.72,0.155,0.53,0.703,0.256,0.57,0.96,0.948
289,0.7,0.128,0.5,0.676,0.236,0.557,0.95,0.935
290,0.68,0.101,0.47,0.649,0.216,0.544,0.94,0.922
291,0.66,0.074,0.44,0.622,0.196,0.531,0.93,0.909
292,0.64,0.047,0.41,0.595,0.176,0.518,0.92,0.896
293,0.62,0.02,0.38,0.568,0.156,0.505,0.91,0.883
294,0.6,-0.007,0.35,0.541,0.136,0.492,0.9,0.87
295,0.694,0.993,0.434,0.614,0.202,0.559,0.976,0.957
296,0.788,1.0,0.518,0.687,0.268,0.626,1.0,1.0
297,0.768,0.973,0.488,0.66,0.248,0.613,0.99,0.987
298,0.748,0.946,0.458,0.633,0.228,0.6,0.98,0.974
299,0.728,0.919,0.428,0.606,0.208,0.587,0.97,0.961
300,0.708,0.892,0.398,0.579,0.188,0.574,0.96,0.948
301,0.688,0.865,0.368,0.552,0.168,0.561,0.95,0.935
302,0.668,0.838,0.338,0.525,0.148,0.548,0.94,0.922
303,0.648,0.811,0.308,0.498,0.128,0.535,0.93,0.909
304,0.628,0.784,0.278,0.471,0.108,0.522,0.92,0.896
305,0.608,0.757,0.248,0.444,0.088,0.509,0.91,0.883
306,0.588,0.73,0.218,0.417,0.068,0.496,0.9,0.87
307,0.568,0.703,0.188,0.39,0.048,0.483,0.89,0.857
308,0.548,0.676,0.158,0.363,0.028,0.47,0.88,0.844
309,0.528,0.649,0.128,0.336,0.008,0.457,0.87,0.831
310,0.508,0.622,0.098,0.309,-0.012,0.444,0.86,0.818
311,0.568,0.681,0.168,0.424,0.988,0.545,0.95,0.863
312,0.628,0.74,0.238,0.539,1.0,0.646,1.0,0.908
313,0.608,0.713,0.208,0.512,0.98,0.633,0.99,0.895
314,0.588,0.686,0.178,0.485,0.96,0.62,0.98,0.882
315,0.568,0.659,0.148,0.458,0.94,0.607,0.97,0.869
316,0.548,0.632,0.118,0.431,0.92,0.594,0.96,0.856
317,0.528,0.605,0.088,0.404,0.9,0.581,0.95,0.843
318,0.508,0.578,0.058,0.377,0.88,0.568,0.94,0.83
319,0.488,0.551,0.028,0.35,0.86,0.555,0.93,0.817
320,0.468,0.524,-0.002,0.323,0.84,0.542,0.92,0.804
321,0.548,0.611,0.998,0.438,0.92,0.615,0.99,0.849
322,0.628,0.698,1.0,0.553,1.0,0.688,1.0,0.894
323,0.608,0.671,0.97,0.526,0.98,0.675,0.99,0.881
324,0.588,0.644,0.94,0.499,0.96,0.662,0.98,0.868
325,0.568,0.617,0.91,0.472,0.94,0.649,0.97,0.855
326,0.548,0.59,0.88,0.445,0.92,0.636,0.96,0.842
327,0.528,0.563,0.85,0.418,0.9,0.623,0.95,0.829
328,0.508,0.536,0.82,0.391,0.88,0.61,0.94,0.816
329,0.488,0.509,0.79,0.364,0.86,0.597,0.93,0.803
330,0.468,0.482,0.76,0.337,0.84,0.584,0.92,0.79
331,0.448,0.455,0.73,0.31,0.82,0.571,0.91,0.777
332,0.428,0.428,0.7,0.283,0.8,0.558,0.9,0.764
333,0.408,0.401,0.67,0.256,0.78,0.545,0.89,0.751
334,0.388,0.374,0.64,0.229,0.76,0.532,0.88,0.738
335,0.368,0.347,0.61,0.202,0.74,0.519,0.87,0.725
336,0.348,0.32,0.58,0.175,0.72,0.506,0.86,0.712
337,0.328,0.293,0.55,0.148,0.7,0.493,0.85,0.699
338,0.308,0.266,0.52,0.121,0.68,0.48,0.84,0.686
339,0.288,0.239,0.49,0.094,0.66,0.467,0.83,0.673
340,0.268,0.212,0.46,0.067,0.64,0.454,0.82,0.66
341,0.248,0.185,0.43,0.04,0.62,0.441,0.81,0.647
342,0.228,0.158,0.4,0.013,0.6,0.428,0.8,0.634
343,0.208,0.131,0.37,-0.014,0.58,0.415,0.79,0.621
344,0.246,0.204,0.482,0.986,0.702,0.502,0.838,0.608
345,0.284,0.277,0.594,1.0,0.824,0.589,0.886,0.595
346,0.264,0.25,0.564,0.973,0.804,0.576,0.876,0.582
347,0.244,0.223,0.534,0.946,0.784,0.563,0.866,0.569
348,0.224,0.196,0.504,0.919,0.764,0.55,0.856,0.556
349,0.204,0.169,0.474,0.892,0.744,0.537,0.846,0.543
350,0.184,0.142,0.444,0.865,0.724,0.524,0.836,0.53
351,0.164,0.115,0.414,0.838,0.704,0.511,0.826,0.517
352,0.144,0.088,0.384,0.811,0.684,0.498,0.816,0.504
353,0.124,0.061,0.354,0.784,0.664,0.485,0.806,0.491
354,0.104,0.034,0.324,0.757,0.644,0.472,0.796,0.478
355,0.084,0.007,0.294,0.73,0.624,0.459,0.786,0.465
356,0.064,-0.02,0.264,0.703,0.604,0.446,0.776,0.452
357,0.158,0.98,0.348,0.776,0.67,0.513,0.852,0.539
358,0.252,1.0,0.432,0.849,0.736,0.58,0.928,0.626
359,0.232,0.973,0.402,0.822,0.716,0.567,0.918,0.613
360,0.212,0.946,0.372,0.795,0.696,0.554,0.908,0.6
361,0.192,0.919,0.342,0.768,0.676,0.541,0.898,0.587
362,0.172,0.892,0.312,0.741,0.656,0.528,0.888,0.574
363,0.152,0.865,0.282,0.714,0.636,0.515,0.878,0.561
364,0.132,0.838,0.252,0.687,0.616,0.502,0.868,0.548
365,0.112,0.811,0.222,0.66,0.596,0.489,0.858,0.535
366,0.092,0.784,0.192,0.633,0.576,0.476,0.848,0.522
367,0.072,0.757,0.162,0.606,0.556,0.463,0.838,0.509
368,0.052,0.73,0.132,0.579,0.536,0.45,0.828,0.496
369,0.032,0.703,0.102,0.552,0.516,0.437,0.818,0.483
370,0.012,0.676,0.072,0.525,0.496,0.424,0.808,0.47
371,-0.008,0.649,0.042,0.498,0.476,0.411,0.798,0.457
372,0.992,0.736,0.112,0.529,0.536,0.484,0.888,0.586
373,1.0,0.823,0.182,0.56,0.596,0.557,0.978,0.715
374,0.98,0.796,0.152,0.533,0.576,0.544,0.968,0.702
375,0.96,0.769,0.122,0.506,0.556,0.531,0.958,0.689
376,0.94,0.742,0.092,0.479,0.536,0.518,0.948,0.676
377,0.92,0.715,0.062,0.452,0.516,0.505,0.938,0.663
378,0.9,0.688,0.032,0.425,0.496,0.492,0.928,0.65
379,0.88,0.661,0.002,0.398,0.476,0.479,0.918,0.637
380,0.86,0.634,-0.028,0.371,0.456,0.466,0.908,0.624
381,0.94,0.721,0.972,0.486,0.536,0.539,0.978,0.669
382,1.0,0.808,1.0,0.601,0.616,0.612,1.0,0.714
383,0.98,0.781,0.97,0.574,0.596,0.599,0.99,0.701
384,0.96,0.754,0.94,0.547,0.576,0.586,0.98,0.688
385,0.94,0.727,0.91,0.52,0.556,0.573,0.97,0.675
386,0.92,0.7,0.88,0.493,0.536,0.56,0.96,0.662
387,0.9,0.673,0.85,0.466,0.516,0.547,0.95,0.649
388,0.88,0.646,0.82,0.439,0.496,0.534,0.94,0.636
389,0.86,0.619,0.79,0.412,0.476,0.521,0.93,0.623
390,0.84,0.592,0.76,0.385,0.456,0.508,0.92,0.61
391,0.82,0.565,0.73,0.358,0.436,0.495,0.91,0.597
392,0.8,0.538,0.7,0.331,0.416,0.482,0.9,0.584
393,0.78,0.511,0.67,0.304,0.396,0.469,0.89,0.571
394,0.76,0.484,0.64,0.277,0.376,0.456,0.88,0.558
395,0.74,0.457,0.61,0.25,0.356,0.443,0.87,0.545
396,0.72,0.43,0.58,0.223,0.336,0.43,0.86,0.532
