seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
698,8,2000,0.345882843762081,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→D→D→A→A→C→C→B→B→D→D→A→A→C
699,8,2000,0.3500213279229672,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→C→C→E→E→A→A→B→B→C
700,8,2000,0.388221140754412,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C
701,8,2000,0.34178977964519736,1,0.2,0.3,0.2,0.3,True,21,434,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
702,8,2000,0.36094270272867784,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A
703,8,2000,0.318132901631564,1,0.2,0.3,0.2,0.3,True,21,29,A→A→B→B→C→C→B→B→A→A→D→D→C→C→B→B→A→A→E→E→A
704,8,2000,0.3277415376259935,1,0.2,0.3,0.2,0.3,True,21,277,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
705,8,2000,0.31045261942058705,1,0.2,0.3,0.2,0.3,True,21,9,A→A→B→B→C→C→D→D→B→B→A→A→B→B→C→C→D→D→B→B→A
706,8,2000,0.3743436774676646,1,0.2,0.3,0.2,0.3,True,21,74,A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A
707,8,2000,0.2954208570223205,1,0.2,0.3,0.2,0.3,True,21,210,A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→A→A→B→B→C
708,8,2000,0.3209138979877801,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→C→C→B→B→A→A→E→E→B→B→C→C→A
709,8,2000,0.324995397841792,1,0.2,0.3,0.2,0.3,True,21,32,A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→C→C→A
710,8,2000,0.3630866790092949,1,0.2,0.3,0.2,0.3,True,21,27,A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C
711,8,2000,0.35926826721562083,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→D→D→E→E→D→D→E→E→D→D→E→E→D→D→E
712,8,2000,0.37489627816662807,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→C→C→D→D→C→C→B→B→A→A→D→D→C
713,8,2000,0.3088247984966922,1,0.2,0.3,0.2,0.3,True,21,5,A→A→B→B→C→C→D→D→A→A→B→B→E→E→D→D→A→A→B→B→C
714,8,2000,0.31165193039367345,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C
715,8,2000,0.3673092822773352,1,0.2,0.3,0.2,0.3,True,21,8,A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A
716,8,2000,0.3818612740406964,1,0.2,0.3,0.2,0.3,True,21,6,A→A→B→B→C→C→D→D→E→E→D→D→C→C→E→E→D→D→E→E→C
717,8,2000,0.35804697090360765,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C→C→A→A→E
718,8,2000,0.2817588620667572,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B
719,8,2000,0.36229889335478527,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→D→D→B→B→C→C→D→D→A→A→B→B→C→C→D
720,8,2000,0.3726543611944096,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→A→A→D→D→B→B→A→A→B→B→C
721,8,2000,0.3400716132459059,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→D→D→C→C→D→D→B→B→A→A→C→C→D→D→B
722,8,2000,0.37814081498494545,1,0.2,0.3,0.2,0.3,True,21,42,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A
723,8,2000,0.36639859968864075,1,0.2,0.3,0.2,0.3,True,21,5,A→A→B→B→C→C→D→D→A→A→C→C→E→E→A→A→C→C→D→D→C
724,8,2000,0.2556451689832517,1,0.2,0.3,0.2,0.3,True,21,5,A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→A→A→B→B→D
725,8,2000,0.3982537393288477,1,0.2,0.3,0.2,0.3,True,21,39,A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→B
726,8,2000,0.35133507054181784,1,0.2,0.3,0.2,0.3,True,21,39,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C
727,8,2000,0.2867583809926369,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→D→D→A→A→E→E→B→B→A→A→D→D→C→C→A
728,8,2000,0.33408308110150003,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→D→D→B→B→A→A→E→E→C→C→B→B→D→D→A
729,8,2000,0.2773461922410278,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→E→E→D→D→B→B→C→C→F→F→B→B→A
730,8,2000,0.36981065303455524,1,0.2,0.3,0.2,0.3,True,21,69,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A
731,8,2000,0.3297630018384667,1,0.2,0.3,0.2,0.3,True,21,445,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
